'NLA.MF16.word_semantics' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.source_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.twelfth_power_reduction' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.polynomial_word_equivalence' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.krawczyk_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.certified_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.root_to_matrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.MF16.not_wordUniquenessConjecture' depends on axioms: [propext, Classical.choice, Quot.sound]
